generator,generator_class,test,sample_size,sample_iter,pass_rate,mean_p,median_p,empirical_pass_rate,empirical_fail_rate,posterior_pass_threshold_probability,posterior_fail_threshold_probability,avg_gen_time_ms,avg_test_time_ms,verdict,bayes_verdict
Repeating Generator,PR,Frequency (Monobit) Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.29446441790787503,0.5714601775980555,FAIL,FAIL
Repeating Generator,PR,Runs Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.29446441790787503,0.16827290595392697,FAIL,FAIL
Repeating Generator,PR,Block Frequency Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.29446441790787503,0.48407490373938344,FAIL,FAIL
Repeating Generator,PR,Autocorrelation Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.29446441790787503,0.20943841224652715,FAIL,FAIL
Repeating Generator,PR,Spectral Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.29446441790787503,11.66632890002802,FAIL,FAIL
Repeating Generator,PR,Linear Complexity Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.29446441790787503,9.71691684203688,FAIL,FAIL
Repeating Generator,PR,Diehard Birthday Spacings Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.29446441790787503,0.11239899764768779,FAIL,FAIL
Repeating Generator,PR,Dieharder Byte Distribution Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.29446441790787503,1.8417040080821607,FAIL,FAIL
