generator,generator_class,test,sample_size,sample_iter,pass_rate,mean_p,median_p,classical_randomness_chance,classical_fail_chance,bayes_randomness_chance,bayes_fail_chance,avg_gen_time_ms,avg_test_time_ms,verdict,bayes_verdict
Ambient Noise Generator,TRNG,Frequency (Monobit) Test,1000000,500,0.99,0.5018512129103487,0.5054119517884821,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,0.003923167911125347,0.9048500741046155,PASS,PASS
Ambient Noise Generator,TRNG,Runs Test,1000000,500,0.986,0.4871630083568091,0.48788881375968196,0.986,0.014000000000000012,0.9253799116833115,0.07462008831668854,0.003923167911125347,0.3828313422127394,PASS,FAIL
Ambient Noise Generator,TRNG,Block Frequency Test,1000000,500,0.986,0.48013802985674287,0.4874531224095512,0.986,0.014000000000000012,0.9253799116833115,0.07462008831668854,0.003923167911125347,0.5074246739968657,PASS,FAIL
Ambient Noise Generator,TRNG,Autocorrelation Test,1000000,500,0.986,0.48712809462189927,0.48642882974819995,0.986,0.014000000000000012,0.9253799116833115,0.07462008831668854,0.003923167911125347,0.20896250610530842,PASS,FAIL
Ambient Noise Generator,TRNG,Spectral Test,1000000,500,0.992,0.4894259797001515,0.4741290010843242,0.992,0.008000000000000007,0.9949148544264644,0.0050851455735355655,0.003923167911125347,11.775884837828926,PASS,PASS
Ambient Noise Generator,TRNG,Linear Complexity Test,1000000,500,0.99,0.5069363078575942,0.4998533032871832,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,0.003923167911125347,282.35410798399244,PASS,PASS
Ambient Noise Generator,TRNG,Diehard Birthday Spacings Test,1000000,500,0.974,0.5111524512818846,0.4795001221869535,0.974,0.026000000000000023,0.3328062112071708,0.6671937887928292,0.003923167911125347,0.15724699417478405,FAIL,FAIL
Ambient Noise Generator,TRNG,Dieharder Byte Distribution Test,1000000,500,0.99,0.4959681259130197,0.5008551936776334,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,0.003923167911125347,1.804709318181267,PASS,PASS
