generator,generator_class,test,sample_size,sample_iter,pass_rate,mean_p,median_p,empirical_pass_rate,empirical_fail_rate,posterior_pass_threshold_probability,posterior_fail_threshold_probability,avg_gen_time_ms,avg_test_time_ms,verdict,bayes_verdict
Ambient Noise Generator,TRNG,Frequency (Monobit) Test,1000000,500,0.99,0.5018512129103487,0.5054119517884821,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,0.003139304171781987,0.7832507494022138,PASS,PASS
Ambient Noise Generator,TRNG,Runs Test,1000000,500,0.986,0.4871630083568091,0.48788881375968196,0.986,0.014000000000000012,0.9253799116833115,0.07462008831668854,0.003139304171781987,0.3899286845116876,PASS,FAIL
Ambient Noise Generator,TRNG,Block Frequency Test,1000000,500,0.986,0.48013802985674287,0.4874531224095512,0.986,0.014000000000000012,0.9253799116833115,0.07462008831668854,0.003139304171781987,0.497837841801811,PASS,FAIL
Ambient Noise Generator,TRNG,Autocorrelation Test,1000000,500,0.986,0.48712809462189927,0.48642882974819995,0.986,0.014000000000000012,0.9253799116833115,0.07462008831668854,0.003139304171781987,0.21348167909309268,PASS,FAIL
Ambient Noise Generator,TRNG,Spectral Test,1000000,500,0.992,0.4894259797001515,0.4741290010843242,0.992,0.008000000000000007,0.9949148544264644,0.0050851455735355655,0.003139304171781987,11.511518661980517,PASS,PASS
Ambient Noise Generator,TRNG,Linear Complexity Test,1000000,500,0.99,0.5069363078575942,0.4998533032871832,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,0.003139304171781987,291.0921048343298,PASS,PASS
Ambient Noise Generator,TRNG,Diehard Birthday Spacings Test,1000000,500,0.998,0.5075876276302285,0.49961303615451147,0.998,0.0020000000000000018,0.9999699318460911,3.0068153908935358e-05,0.003139304171781987,7.134182412177324,PASS,PASS
Ambient Noise Generator,TRNG,Dieharder Byte Distribution Test,1000000,500,0.99,0.4959681259130197,0.5008551936776334,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,0.003139304171781987,1.6713018258451484,PASS,PASS
