generator,generator_class,test,sample_size,sample_iter,pass_rate,mean_p,median_p,stability_score,final_score,pass_posterior_chance,classical_randomness_chance,classical_fail_chance,bayes_randomness_chance,bayes_fail_chance,randomness_chance,fail_chance,avg_gen_time_ms,avg_test_time_ms,verdict,bayes_verdict
Ambient Noise Generator,TRNG,Frequency (Monobit) Test,1000000,500,0.99,0.5018512129103487,0.5054119517884821,0.0,0.7194628032275872,0.9850813608163415,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,0.9850813608163415,0.014918639183658544,0.0026650975923985243,0.9276839757803828,PASS,PASS
Ambient Noise Generator,TRNG,Runs Test,1000000,500,0.986,0.4871630083568091,0.48788881375968196,0.0,0.7133907520892023,0.9253799116833115,0.986,0.014000000000000012,0.9253799116833115,0.07462008831668854,0.9253799116833115,0.07462008831668854,0.0026650975923985243,0.4234280629316345,PASS,FAIL
Ambient Noise Generator,TRNG,Block Frequency Test,1000000,500,0.986,0.48013802985674287,0.4874531224095512,0.03848328704534043,0.7174070005209868,0.9253799116833115,0.986,0.014000000000000012,0.9253799116833115,0.07462008831668854,0.9253799116833115,0.07462008831668854,0.0026650975923985243,0.5394484498538077,PASS,FAIL
Ambient Noise Generator,TRNG,Autocorrelation Test,1000000,500,0.986,0.48712809462189927,0.48642882974819995,0.0,0.7133820236554749,0.9253799116833115,0.986,0.014000000000000012,0.9253799116833115,0.07462008831668854,0.9253799116833115,0.07462008831668854,0.0026650975923985243,0.22948857478331774,PASS,FAIL
Ambient Noise Generator,TRNG,Spectral Test,1000000,500,0.992,0.4894259797001515,0.4741290010843242,0.028472071160856594,0.7218273055991663,0.9949148544264644,0.992,0.008000000000000007,0.9949148544264644,0.0050851455735355655,0.9949148544264644,0.0050851455735355655,0.0026650975923985243,13.403493518359028,PASS,PASS
Ambient Noise Generator,TRNG,Linear Complexity Test,1000000,500,0.99,0.5069363078575942,0.4998533032871832,0.0,0.7207340769643985,0.9850813608163415,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,0.9850813608163415,0.014918639183658544,0.0026650975923985243,189.37902066786774,PASS,PASS
Ambient Noise Generator,TRNG,Diehard Birthday Spacings Test,1000000,500,0.974,0.5111524512818846,0.4795001221869535,0.0,0.712188112820471,0.3328062112071708,0.974,0.026000000000000023,0.3328062112071708,0.6671937887928292,0.3328062112071708,0.6671937887928292,0.0026650975923985243,0.10847791144624352,FAIL,FAIL
Ambient Noise Generator,TRNG,Dieharder Byte Distribution Test,1000000,500,0.99,0.4959681259130197,0.5008551936776334,0.00328445526886445,0.7184846997685845,0.9850813608163415,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,0.9850813608163415,0.014918639183658544,0.0026650975923985243,1.8551097679883242,PASS,PASS
