generator,generator_class,test,sample_size,sample_iter,pass_rate,mean_p,median_p,stability_score,final_score,pass_posterior_chance,classical_randomness_chance,classical_fail_chance,bayes_randomness_chance,bayes_fail_chance,randomness_chance,fail_chance,avg_gen_time_ms,avg_test_time_ms,verdict,bayes_verdict
LCG,PRNG,Frequency (Monobit) Test,1000000,500,1.0,0.5814665850099299,0.5871299893654772,0.11280384404177235,0.7622872228587483,0.9999988372569716,1.0,0.0,0.9999988372569716,1.1627430284155693e-06,0.9999988372569716,1.1627430284155693e-06,3.6715743485838175,0.5407957152929157,PASS,PASS
LCG,PRNG,Runs Test,1000000,500,1.0,0.5730032266780622,0.5876540844385828,0.07094598391663065,0.7538927042570102,0.9999988372569716,1.0,0.0,0.9999988372569716,1.1627430284155693e-06,0.9999988372569716,1.1627430284155693e-06,3.6715743485838175,0.37149232265073806,PASS,PASS
LCG,PRNG,Block Frequency Test,1000000,500,1.0,0.9999601738582057,0.9999999999999968,0.9984708636985676,0.9997606730193366,0.9999988372569716,1.0,0.0,0.9999988372569716,1.1627430284155693e-06,0.9999988372569716,1.1627430284155693e-06,3.6715743485838175,0.4813189215492457,PASS,PASS
LCG,PRNG,Autocorrelation Test,1000000,500,1.0,0.572912691664605,0.5878199993959679,0.07130688265137874,0.753924205313858,0.9999988372569716,1.0,0.0,0.9999988372569716,1.1627430284155693e-06,0.9999988372569716,1.1627430284155693e-06,3.6715743485838175,0.20271999505348504,PASS,PASS
LCG,PRNG,Spectral Test,1000000,500,0.0,0.0,0.0,1.0,0.15,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.6715743485838175,11.50755730282981,FAIL,FAIL
LCG,PRNG,Linear Complexity Test,1000000,500,0.988,0.5077931530371032,0.5036770079683972,0.010852823422065283,0.7213762117725856,0.9639016175894787,0.988,0.01200000000000001,0.9639016175894787,0.036098382410521324,0.9639016175894787,0.036098382410521324,3.6715743485838175,172.28943391237408,PASS,PASS
LCG,PRNG,Diehard Birthday Spacings Test,1000000,500,0.99,0.5415942927090446,0.4795001221869535,0.0,0.7293985731772611,0.9850813608163415,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,0.9850813608163415,0.014918639183658544,3.6715743485838175,0.09692793537396938,PASS,PASS
LCG,PRNG,Dieharder Byte Distribution Test,1000000,500,1.0,0.9999566340863021,0.9999996819482599,0.9992412481626126,0.9998753457459675,0.9999988372569716,1.0,0.0,0.9999988372569716,1.1627430284155693e-06,0.9999988372569716,1.1627430284155693e-06,3.6715743485838175,1.6395631625782698,PASS,PASS
