generator,generator_class,test,sample_size,sample_iter,pass_rate,mean_p,median_p,stability_score,final_score,pass_posterior_chance,classical_randomness_chance,classical_fail_chance,bayes_randomness_chance,bayes_fail_chance,randomness_chance,fail_chance,avg_gen_time_ms,avg_test_time_ms,verdict,bayes_verdict
Repeating Generator,PR,Frequency (Monobit) Test,1000000,500,0.0,0.0,0.0,1.0,0.15,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.32806532783433795,0.8207727641565725,FAIL,FAIL
Repeating Generator,PR,Runs Test,1000000,500,0.0,0.0,0.0,1.0,0.15,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.32806532783433795,0.21789890818763524,FAIL,FAIL
Repeating Generator,PR,Block Frequency Test,1000000,500,0.0,0.0,0.0,1.0,0.15,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.32806532783433795,0.6115687231067568,FAIL,FAIL
Repeating Generator,PR,Autocorrelation Test,1000000,500,0.0,0.0,0.0,1.0,0.15,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.32806532783433795,0.2684555791784078,FAIL,FAIL
Repeating Generator,PR,Spectral Test,1000000,500,0.0,0.0,0.0,1.0,0.15,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.32806532783433795,15.072375419782475,FAIL,FAIL
Repeating Generator,PR,Linear Complexity Test,1000000,500,0.0,0.0,0.0,1.0,0.15,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.32806532783433795,4.1699700957397,FAIL,FAIL
Repeating Generator,PR,Diehard Birthday Spacings Test,1000000,500,0.0,0.0,0.0,1.0,0.15,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.32806532783433795,0.08121183491311967,FAIL,FAIL
Repeating Generator,PR,Dieharder Byte Distribution Test,1000000,500,0.0,0.0,0.0,1.0,0.15,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.32806532783433795,2.2886025331681594,FAIL,FAIL
