generator,test,sample_size,sample_iter,expected_per_bin,p_bin_00_10,p_bin_10_20,p_bin_20_30,p_bin_30_40,p_bin_40_50,p_bin_50_60,p_bin_60_70,p_bin_70_80,p_bin_80_90,p_bin_90_100,max_bin_deviation
Blum-Blum-Shub,Frequency (Monobit) Test,1000000,500,50.0,58,43,40,55,64,46,50,38,62,44,14.0
Blum-Blum-Shub,Runs Test,1000000,500,50.0,53,43,44,43,54,67,51,47,46,52,17.0
Blum-Blum-Shub,Block Frequency Test,1000000,500,50.0,53,51,53,49,51,47,53,42,59,42,9.0
Blum-Blum-Shub,Autocorrelation Test,1000000,500,50.0,53,43,44,43,54,66,51,48,46,52,16.0
Blum-Blum-Shub,Spectral Test,1000000,500,50.0,53,45,43,55,60,44,49,52,53,46,10.0
Blum-Blum-Shub,Linear Complexity Test,1000000,500,50.0,51,40,43,44,51,53,57,45,67,49,17.0
Blum-Blum-Shub,Diehard Birthday Spacings Test,1000000,500,50.0,50,47,49,23,55,43,49,66,50,68,27.0
Blum-Blum-Shub,Dieharder Byte Distribution Test,1000000,500,50.0,57,48,41,62,56,39,54,54,48,41,12.0
