generator,generator_class,test,sample_size,sample_iter,pass_rate,mean_p,median_p,empirical_pass_rate,empirical_fail_rate,posterior_pass_threshold_probability,posterior_fail_threshold_probability,avg_gen_time_ms,avg_test_time_ms,verdict,bayes_verdict
Blum-Blum-Shub,CSPRNG,Frequency (Monobit) Test,1000000,500,0.988,0.4961454102419194,0.4783246968298666,0.988,0.01200000000000001,0.9639016175894787,0.036098382410521324,957.9798935216386,0.6950270843808539,PASS,PASS
Blum-Blum-Shub,CSPRNG,Runs Test,1000000,500,0.99,0.5069064451972345,0.5170915095703742,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,957.9798935216386,0.40575810527661815,PASS,PASS
Blum-Blum-Shub,CSPRNG,Block Frequency Test,1000000,500,0.992,0.4898166098717531,0.48884847751746485,0.992,0.008000000000000007,0.9949148544264644,0.0050851455735355655,957.9798935216386,0.5173153294599615,PASS,PASS
Blum-Blum-Shub,CSPRNG,Autocorrelation Test,1000000,500,0.99,0.5068895330383685,0.5176317341055554,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,957.9798935216386,0.21423317596782,PASS,PASS
Blum-Blum-Shub,CSPRNG,Spectral Test,1000000,500,0.99,0.5018914119493194,0.4855375919873811,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,957.9798935216386,12.169718471472152,PASS,PASS
Blum-Blum-Shub,CSPRNG,Linear Complexity Test,1000000,500,0.99,0.5225410075482212,0.5367450765930166,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,957.9798935216386,289.83055298170075,PASS,PASS
Blum-Blum-Shub,CSPRNG,Diehard Birthday Spacings Test,1000000,500,0.996,0.538035445156997,0.5557135683432535,0.996,0.0040000000000000036,0.9997398113709864,0.000260188629013558,957.9798935216386,7.218371675815433,PASS,PASS
Blum-Blum-Shub,CSPRNG,Dieharder Byte Distribution Test,1000000,500,0.994,0.48842356881201693,0.4678493328076099,0.994,0.006000000000000005,0.9986427970493916,0.0013572029506083716,957.9798935216386,1.7312935366062447,PASS,PASS
