generator,generator_class,test,sample_size,sample_iter,pass_rate,mean_p,median_p,empirical_pass_rate,empirical_fail_rate,posterior_pass_threshold_probability,posterior_fail_threshold_probability,avg_gen_time_ms,avg_test_time_ms,verdict,bayes_verdict
Mersenne Twister,PRNG,Frequency (Monobit) Test,1000000,500,0.994,0.5112041161465042,0.5208740166895409,0.994,0.006000000000000005,0.9986427970493916,0.0013572029506083716,312.52974647359224,0.5482741455780342,PASS,PASS
Mersenne Twister,PRNG,Runs Test,1000000,500,0.992,0.5142586075782429,0.5010722226885814,0.992,0.008000000000000007,0.9949148544264644,0.0050851455735355655,312.52974647359224,0.3928968543186784,PASS,PASS
Mersenne Twister,PRNG,Block Frequency Test,1000000,500,0.994,0.5079389236887136,0.5210085429813933,0.994,0.006000000000000005,0.9986427970493916,0.0013572029506083716,312.52974647359224,0.5049673208850436,PASS,PASS
Mersenne Twister,PRNG,Autocorrelation Test,1000000,500,0.992,0.5143303723970923,0.5003113136807362,0.992,0.008000000000000007,0.9949148544264644,0.0050851455735355655,312.52974647359224,0.2137422426021658,PASS,PASS
Mersenne Twister,PRNG,Spectral Test,1000000,500,0.988,0.5047800960028014,0.5146975233379074,0.988,0.01200000000000001,0.9639016175894787,0.036098382410521324,312.52974647359224,11.338673502090387,PASS,PASS
Mersenne Twister,PRNG,Linear Complexity Test,1000000,500,0.992,0.5035685790491902,0.5000023360058572,0.992,0.008000000000000007,0.9949148544264644,0.0050851455735355655,312.52974647359224,291.58650958002545,PASS,PASS
Mersenne Twister,PRNG,Diehard Birthday Spacings Test,1000000,500,0.99,0.526418914998112,0.549974043066642,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,312.52974647359224,7.140298752754461,PASS,PASS
Mersenne Twister,PRNG,Dieharder Byte Distribution Test,1000000,500,0.98,0.509813158672286,0.531622687458565,0.98,0.020000000000000018,0.6770106540448958,0.3229893459551042,312.52974647359224,1.6520818420685828,PASS,FAIL
