generator,generator_class,test,sample_size,sample_iter,pass_rate,mean_p,median_p,empirical_pass_rate,empirical_fail_rate,posterior_pass_threshold_probability,posterior_fail_threshold_probability,avg_gen_time_ms,avg_test_time_ms,verdict,bayes_verdict
Mersenne Twister,PRNG,Frequency (Monobit) Test,1000000,500,0.988,0.49667717088827124,0.487682208920464,0.988,0.01200000000000001,0.9639016175894787,0.036098382410521324,303.6802018220478,0.5304660021211021,PASS,PASS
Mersenne Twister,PRNG,Runs Test,1000000,500,0.99,0.501781894184424,0.4976587518709797,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,303.6802018220478,0.38304598594550043,PASS,PASS
Mersenne Twister,PRNG,Block Frequency Test,1000000,500,0.986,0.4830226499372727,0.4645716392761092,0.986,0.014000000000000012,0.9253799116833115,0.07462008831668854,303.6802018220478,0.4930777376575861,PASS,FAIL
Mersenne Twister,PRNG,Autocorrelation Test,1000000,500,0.99,0.5018620718039047,0.49713764683612094,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,303.6802018220478,0.20851674434379674,PASS,PASS
Mersenne Twister,PRNG,Spectral Test,1000000,500,0.994,0.5135598187830851,0.5236240445532898,0.994,0.006000000000000005,0.9986427970493916,0.0013572029506083716,303.6802018220478,11.021710843779147,PASS,PASS
Mersenne Twister,PRNG,Linear Complexity Test,1000000,500,0.988,0.47930976863061014,0.47763493912410127,0.988,0.01200000000000001,0.9639016175894787,0.036098382410521324,303.6802018220478,291.38169085254776,PASS,PASS
Mersenne Twister,PRNG,Diehard Birthday Spacings Test,1000000,500,0.988,0.5190179394161313,0.4795001221869535,0.988,0.01200000000000001,0.9639016175894787,0.036098382410521324,303.6802018220478,0.14439056208357215,PASS,PASS
Mersenne Twister,PRNG,Dieharder Byte Distribution Test,1000000,500,0.984,0.5111989401672408,0.5189917481626372,0.984,0.016000000000000014,0.8647812146443395,0.13521878535566045,303.6802018220478,1.6091481857001781,PASS,FAIL
