generator,test,sample_size,sample_iter,expected_per_bin,p_bin_00_10,p_bin_10_20,p_bin_20_30,p_bin_30_40,p_bin_40_50,p_bin_50_60,p_bin_60_70,p_bin_70_80,p_bin_80_90,p_bin_90_100,max_bin_deviation
Alternating Generator,Frequency (Monobit) Test,1000000,500,50.0,0,0,0,0,0,0,0,0,0,500,450.0
Alternating Generator,Runs Test,1000000,500,50.0,500,0,0,0,0,0,0,0,0,0,450.0
Alternating Generator,Block Frequency Test,1000000,500,50.0,0,0,0,0,0,0,0,0,0,500,450.0
Alternating Generator,Autocorrelation Test,1000000,500,50.0,500,0,0,0,0,0,0,0,0,0,450.0
Alternating Generator,Spectral Test,1000000,500,50.0,500,0,0,0,0,0,0,0,0,0,450.0
Alternating Generator,Linear Complexity Test,1000000,500,50.0,500,0,0,0,0,0,0,0,0,0,450.0
Alternating Generator,Diehard Birthday Spacings Test,1000000,500,50.0,500,0,0,0,0,0,0,0,0,0,450.0
Alternating Generator,Dieharder Byte Distribution Test,1000000,500,50.0,500,0,0,0,0,0,0,0,0,0,450.0
