generator,generator_class,test,sample_size,sample_iter,pass_rate,mean_p,median_p,classical_randomness_chance,classical_fail_chance,bayes_randomness_chance,bayes_fail_chance,avg_gen_time_ms,avg_test_time_ms,verdict,bayes_verdict
Alternating Generator,PR,Frequency (Monobit) Test,1000000,500,1.0,1.0,1.0,1.0,0.0,0.9999988372569716,1.1627430284155693e-06,0.15850984014105052,0.5241684860666282,PASS,PASS
Alternating Generator,PR,Runs Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.15850984014105052,0.37824816185457166,FAIL,FAIL
Alternating Generator,PR,Block Frequency Test,1000000,500,1.0,1.0,1.0,1.0,0.0,0.9999988372569716,1.1627430284155693e-06,0.15850984014105052,0.483475479966728,PASS,PASS
Alternating Generator,PR,Autocorrelation Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.15850984014105052,0.20773787805228494,FAIL,FAIL
Alternating Generator,PR,Spectral Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.15850984014105052,11.33530792799138,FAIL,FAIL
Alternating Generator,PR,Linear Complexity Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.15850984014105052,11.732942079906934,FAIL,FAIL
Alternating Generator,PR,Diehard Birthday Spacings Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.15850984014105052,0.11427384401031304,FAIL,FAIL
Alternating Generator,PR,Dieharder Byte Distribution Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.15850984014105052,1.7512444678723114,FAIL,FAIL
