generator,generator_class,test,sample_size,sample_iter,pass_rate,mean_p,median_p,empirical_pass_rate,empirical_fail_rate,posterior_pass_threshold_probability,posterior_fail_threshold_probability,avg_gen_time_ms,avg_test_time_ms,verdict,bayes_verdict
audio-none,TRNG,Frequency (Monobit) Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0013540862128138542,0.7396695977076888,FAIL,FAIL
audio-none,TRNG,Runs Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0013540862128138542,0.1703115896671079,FAIL,FAIL
audio-none,TRNG,Block Frequency Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0013540862128138542,0.4863500890205614,FAIL,FAIL
audio-none,TRNG,Autocorrelation Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0013540862128138542,0.20925701403757557,FAIL,FAIL
audio-none,TRNG,Spectral Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0013540862128138542,11.375762318028137,FAIL,FAIL
audio-none,TRNG,Linear Complexity Test,1000000,500,0.994,0.09684088006961136,0.04894197216933136,0.994,0.006000000000000005,0.9986427970493916,0.0013572029506083716,0.0013540862128138542,280.7222959001665,PASS,PASS
audio-none,TRNG,Diehard Birthday Spacings Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0013540862128138542,6.79603299847804,FAIL,FAIL
audio-none,TRNG,Dieharder Byte Distribution Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0013540862128138542,1.6861528107547201,FAIL,FAIL
