generator,test,sample_size,sample_iter,expected_per_bin,p_bin_00_10,p_bin_10_20,p_bin_20_30,p_bin_30_40,p_bin_40_50,p_bin_50_60,p_bin_60_70,p_bin_70_80,p_bin_80_90,p_bin_90_100,max_bin_deviation
audio-none,Frequency (Monobit) Test,1000000,500,50.0,500,0,0,0,0,0,0,0,0,0,450.0
audio-none,Runs Test,1000000,500,50.0,500,0,0,0,0,0,0,0,0,0,450.0
audio-none,Block Frequency Test,1000000,500,50.0,500,0,0,0,0,0,0,0,0,0,450.0
audio-none,Autocorrelation Test,1000000,500,50.0,500,0,0,0,0,0,0,0,0,0,450.0
audio-none,Spectral Test,1000000,500,50.0,500,0,0,0,0,0,0,0,0,0,450.0
audio-none,Linear Complexity Test,1000000,500,50.0,396,48,20,12,11,2,3,0,5,3,346.0
audio-none,Diehard Birthday Spacings Test,1000000,500,50.0,500,0,0,0,0,0,0,0,0,0,450.0
audio-none,Dieharder Byte Distribution Test,1000000,500,50.0,500,0,0,0,0,0,0,0,0,0,450.0
