generator,generator_class,test,sample_size,sample_iter,pass_rate,mean_p,median_p,empirical_pass_rate,empirical_fail_rate,posterior_pass_threshold_probability,posterior_fail_threshold_probability,avg_gen_time_ms,avg_test_time_ms,verdict,bayes_verdict
LCG,PRNG,Frequency (Monobit) Test,1000000,500,1.0,0.5814665850099299,0.5871299893654772,1.0,0.0,0.9999988372569716,1.1627430284155693e-06,34.3888470120437,0.5143883459095377,PASS,PASS
LCG,PRNG,Runs Test,1000000,500,1.0,0.5730032266780622,0.5876540844385828,1.0,0.0,0.9999988372569716,1.1627430284155693e-06,34.3888470120437,0.3801147647027392,PASS,PASS
LCG,PRNG,Block Frequency Test,1000000,500,1.0,0.9999601738582057,0.9999999999999968,1.0,0.0,0.9999988372569716,1.1627430284155693e-06,34.3888470120437,0.487779752118513,PASS,PASS
LCG,PRNG,Autocorrelation Test,1000000,500,1.0,0.572912691664605,0.5878199993959679,1.0,0.0,0.9999988372569716,1.1627430284155693e-06,34.3888470120437,0.2070835983613506,PASS,PASS
LCG,PRNG,Spectral Test,1000000,500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,34.3888470120437,10.996784743765602,FAIL,FAIL
LCG,PRNG,Linear Complexity Test,1000000,500,0.988,0.5077931530371032,0.5036770079683972,0.988,0.01200000000000001,0.9639016175894787,0.036098382410521324,34.3888470120437,292.15117206791183,PASS,PASS
LCG,PRNG,Diehard Birthday Spacings Test,1000000,500,0.99,0.5415942927090446,0.4795001221869535,0.99,0.010000000000000009,0.9850813608163415,0.014918639183658544,34.3888470120437,0.14048040765919723,PASS,PASS
LCG,PRNG,Dieharder Byte Distribution Test,1000000,500,1.0,0.9999566340863021,0.9999996819482599,1.0,0.0,0.9999988372569716,1.1627430284155693e-06,34.3888470120437,1.6198389360215515,PASS,PASS
